color
brown
orange
brown
yellow
blue
orange
blue
blue
blue
red
red
orange
yellow
yellow
brown
blue
brown
orange
red
yellow
green
red
brown
green
blue
red
orange
green
green
green
blue
orange
red
blue
brown
brown
orange
orange
red
red
orange
blue
brown
red
blue
orange
blue
brown
green
brown
blue
red
yellow
yellow
orange
orange
orange
brown
green
blue
yellow
orange
red
blue
yellow
blue
green
green
green
red
orange
blue
brown
red
green
green
red
blue
green
orange
blue
red
green
orange
orange
brown
yellow
blue
brown
red
blue
orange
green
red
yellow
green
blue
blue
brown
orange
red
yellow
red
blue
red
blue
red
blue
orange
green
yellow
orange
orange
blue
red
green
brown
orange
green
brown
orange
orange
brown
brown
orange
blue
yellow
red
orange
orange
red
green
yellow
orange
orange
orange
blue
orange
red
orange
orange
orange
red
blue
red
yellow
orange
green
green
red
orange
blue
brown
green
red
yellow
orange
orange
red
yellow
brown
green
brown
yellow
yellow
red
orange
red
brown
orange
yellow
blue
red
orange
blue
orange
yellow
brown
green
orange
orange
red
green
red
brown
blue
red
brown
orange
orange
orange
orange
red
blue
orange
green
green
blue
orange
brown
green
brown
orange
orange
red
green
brown
orange
blue
green
red
orange
orange
yellow
orange
brown
blue
blue
red
brown
brown
blue
green
red
orange
yellow
blue
orange
green
red
green
orange
orange
brown
yellow
brown
orange
green
blue
blue
brown
red
orange
green
brown
red
red
green
red
red
yellow
blue
red
blue
green
blue
orange
red
red
blue
brown
brown
green
orange
red
orange
green
yellow
orange
blue
orange
green
blue
green
blue
red
red
red
green
green
orange
brown
blue
blue
yellow
red
green
green
brown
blue
yellow
orange
green
brown
orange
brown
green
red
green
blue
green
brown
brown
blue
yellow
red
red
green
orange
blue
brown
brown
green
green
green
orange
red
green
blue
blue
yellow
green
orange
green
red
blue
green
yellow
red
orange
green
orange
yellow
orange
blue
blue
red
red
yellow
blue
green
blue
red
green
red
green
blue
blue
red
